Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
30,tt0981227,7/1/2011,7/1/2011,Have only watched the movie.,Nick and Norah's Infinite Playlist,Nick and Norah's Infinite Playlist,https://www.imdb.com/title/tt0981227/,Movie,6.6,90,2008,"Comedy, Drama, Music, Romance",95907,10/3/2008,Peter Sollett
31,tt1464540,7/1/2011,7/1/2011,Have only watched the movie.,I Am Number Four,I Am Number Four,https://www.imdb.com/title/tt1464540/,Movie,6.1,111,2011,"Action, Adventure, Sci-Fi, Thriller",248307,2/18/2011,D.J. Caruso
32,tt0484562,7/1/2011,7/1/2011,Have only watched the movie.,The Seeker: The Dark Is Rising,The Seeker: The Dark Is Rising,https://www.imdb.com/title/tt0484562/,Movie,4.8,99,2007,"Adventure, Drama, Family, Fantasy, Thriller",15945,10/5/2007,David L. Cunningham
33,tt0450405,7/1/2011,7/1/2011,Have only watched the movie.,Cirque du Freak: The Vampire's Assistant,Cirque du Freak: The Vampire's Assistant,https://www.imdb.com/title/tt0450405/,Movie,5.8,109,2009,"Action, Adventure, Fantasy, Thriller",48461,10/23/2009,Paul Weitz
34,tt0397535,7/1/2011,7/1/2011,Have only watched the movie.,Memoirs of a Geisha,Memoirs of a Geisha,https://www.imdb.com/title/tt0397535/,Movie,7.3,145,2005,"Drama, Romance",163783,12/23/2005,Rob Marshall
35,tt0108071,7/1/2011,7/1/2011,I've read the book and watched the movie.,The Secret Garden,The Secret Garden,https://www.imdb.com/title/tt0108071/,Movie,7.3,101,1993,"Drama, Family, Fantasy",45585,8/13/1993,Agnieszka Holland
36,tt0241527,7/1/2011,7/1/2011,Have only watched the movie.,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,https://www.imdb.com/title/tt0241527/,Movie,7.6,152,2001,"Adventure, Family, Fantasy",877864,11/16/2001,Chris Columbus
37,tt0295297,7/1/2011,7/1/2011,Have only watched the movie.,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,https://www.imdb.com/title/tt0295297/,Movie,7.4,161,2002,"Adventure, Family, Fantasy, Mystery",708897,11/15/2002,Chris Columbus
38,tt0330373,7/1/2011,7/1/2011,Have only watched the movie.,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,https://www.imdb.com/title/tt0330373/,Movie,7.7,157,2005,"Adventure, Family, Fantasy, Mystery",697601,11/18/2005,Mike Newell
39,tt0304141,7/1/2011,7/1/2011,Have only watched the movie.,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,https://www.imdb.com/title/tt0304141/,Movie,7.9,142,2004,"Adventure, Family, Fantasy, Mystery",708950,6/4/2004,Alfonso Cuarón
40,tt0373889,7/1/2011,7/1/2011,Have only watched the movie.,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,https://www.imdb.com/title/tt0373889/,Movie,7.5,138,2007,"Action, Adventure, Family, Fantasy, Mystery",648224,7/11/2007,David Yates
41,tt0417741,7/1/2011,7/1/2011,Have only watched the movie.,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,https://www.imdb.com/title/tt0417741/,Movie,7.6,153,2009,"Action, Adventure, Family, Fantasy, Mystery",610158,7/15/2009,David Yates
42,tt0926084,7/1/2011,7/1/2011,Have only watched the movie.,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows - Part 1,https://www.imdb.com/title/tt0926084/,Movie,7.7,146,2010,"Adventure, Family, Fantasy, Mystery",613832,11/19/2010,David Yates
43,tt0335119,7/1/2011,7/1/2011,I've read the book and watched the movie.,Girl with a Pearl Earring,Girl with a Pearl Earring,https://www.imdb.com/title/tt0335119/,Movie,6.9,100,2003,"Biography, Drama, Romance",83478,1/30/2004,Peter Webber
44,tt0093036,7/1/2011,7/1/2011,Have only watched the movie.,Flowers in the Attic,Flowers in the Attic,https://www.imdb.com/title/tt0093036/,Movie,5.7,93,1987,"Drama, Mystery, Thriller",11532,11/20/1987,Jeffrey Bloom
45,tt0103874,7/1/2011,7/1/2011,Have only watched the movie.,Bram Stoker's Dracula,Bram Stoker's Dracula,https://www.imdb.com/title/tt0103874/,Movie,7.4,128,1992,"Fantasy, Horror, Romance",246657,11/13/1992,Francis Ford Coppola
46,tt0106226,7/1/2011,7/1/2011,Have only watched the movie.,The Age of Innocence,The Age of Innocence,https://www.imdb.com/title/tt0106226/,Movie,7.2,139,1993,"Drama, Romance",69448,10/1/1993,Martin Scorsese
47,tt0240510,7/1/2011,7/1/2011,Have only watched the movie.,The Four Feathers,The Four Feathers,https://www.imdb.com/title/tt0240510/,Movie,6.5,132,2002,"Action, Adventure, Drama, Romance, War",35790,9/20/2002,Shekhar Kapur
48,tt0467200,7/1/2011,7/1/2011,I've read the book and watched the movie.,The Other Boleyn Girl,The Other Boleyn Girl,https://www.imdb.com/title/tt0467200/,Movie,6.7,115,2008,"Biography, Drama, History, Romance",121408,2/29/2008,Justin Chadwick
49,tt0387877,7/1/2011,7/1/2011,Have only watched the movie.,The Black Dahlia,The Black Dahlia,https://www.imdb.com/title/tt0387877/,Movie,5.6,121,2006,"Crime, Drama, Mystery, Thriller",77798,9/15/2006,Brian De Palma
50,tt0404203,7/1/2011,7/1/2011,Have only watched the movie.,Little Children,Little Children,https://www.imdb.com/title/tt0404203/,Movie,7.5,137,2006,"Drama, Romance",118203,2/9/2007,Todd Field
51,tt0243155,7/1/2011,7/1/2011,I've read the book and watched the movie.,Bridget Jones's Diary,Bridget Jones's Diary,https://www.imdb.com/title/tt0243155/,Movie,6.8,97,2001,"Comedy, Drama, Romance",268672,4/13/2001,Sharon Maguire
52,tt0317198,7/1/2011,7/1/2011,I've read the book and watched the movie.,Bridget Jones: The Edge of Reason,Bridget Jones: The Edge of Reason,https://www.imdb.com/title/tt0317198/,Movie,6,108,2004,"Comedy, Drama, Romance",124337,11/19/2004,Beeban Kidron
53,tt0110148,7/1/2011,7/1/2011,Have only watched the movie.,Interview with the Vampire,Interview with the Vampire: The Vampire Chronicles,https://www.imdb.com/title/tt0110148/,Movie,7.5,123,1994,"Drama, Fantasy, Horror",355947,11/11/1994,Neil Jordan
54,tt0119488,7/1/2011,7/1/2011,Have only watched the movie.,L.A. Confidential,L.A. Confidential,https://www.imdb.com/title/tt0119488/,Movie,8.2,138,1997,"Crime, Drama, Mystery, Thriller",629891,9/19/1997,Curtis Hanson
55,tt0110367,7/1/2011,7/1/2011,Have only watched the movie.,Little Women,Little Women,https://www.imdb.com/title/tt0110367/,Movie,7.3,115,1994,"Drama, Family, Romance",64798,12/25/1994,Gillian Armstrong
56,tt0814255,7/1/2011,7/1/2011,Have only watched the movie.,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,https://www.imdb.com/title/tt0814255/,Movie,5.9,118,2010,"Adventure, Family, Fantasy",206315,2/12/2010,Chris Columbus
57,tt0117951,7/1/2011,7/1/2011,Have only watched the movie.,Trainspotting,Trainspotting,https://www.imdb.com/title/tt0117951/,Movie,8.1,93,1996,Drama,737330,8/9/1996,Danny Boyle
58,tt0988045,7/1/2011,7/1/2011,Have only watched the movie.,Sherlock Holmes,Sherlock Holmes,https://www.imdb.com/title/tt0988045/,Movie,7.6,128,2009,"Action, Adventure, Mystery",680999,12/25/2009,Guy Ritchie
59,tt0367594,7/1/2011,7/1/2011,Have only watched the movie.,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,https://www.imdb.com/title/tt0367594/,Movie,6.7,115,2005,"Adventure, Comedy, Family, Fantasy, Musical",540352,7/15/2005,Tim Burton
60,tt0398808,7/1/2011,7/1/2011,Have only watched the movie.,Bridge to Terabithia,Bridge to Terabithia,https://www.imdb.com/title/tt0398808/,Movie,7.2,96,2007,"Drama, Family, Fantasy",177746,2/16/2007,Gabor Csupo
61,tt0146882,7/1/2011,7/1/2011,Have only watched the movie.,High Fidelity,High Fidelity,https://www.imdb.com/title/tt0146882/,Movie,7.4,113,2000,"Comedy, Drama, Music, Romance",192461,3/31/2000,Stephen Frears
62,tt0477348,7/1/2011,7/1/2011,Have only watched the movie.,No Country for Old Men,No Country for Old Men,https://www.imdb.com/title/tt0477348/,Movie,8.2,122,2007,"Crime, Drama, Thriller",1088780,11/21/2007,"Ethan Coen, Joel Coen"
63,tt0783233,7/1/2011,7/1/2011,I've read the book and watched the movie.,Atonement,Atonement,https://www.imdb.com/title/tt0783233/,Movie,7.8,123,2007,"Drama, Mystery, Romance, War",305253,1/11/2008,Joe Wright
64,tt1010048,7/1/2011,7/1/2011,Have only watched the movie.,Slumdog Millionaire,Slumdog Millionaire,https://www.imdb.com/title/tt1010048/,Movie,8,120,2008,"Crime, Drama, Romance",886077,12/25/2008,"Danny Boyle, Loveleen Tandan"
65,tt0380510,7/1/2011,7/1/2011,I've read the book and watched the movie.,The Lovely Bones,The Lovely Bones,https://www.imdb.com/title/tt0380510/,Movie,6.6,135,2009,"Drama, Fantasy, Thriller",182640,1/15/2010,Peter Jackson
66,tt1334260,7/1/2011,7/1/2011,Have only watched the movie.,Never Let Me Go,Never Let Me Go,https://www.imdb.com/title/tt1334260/,Movie,7.1,103,2010,"Drama, Romance",155026,10/15/2010,Mark Romanek
67,tt1285016,7/1/2011,7/1/2011,Have only watched the movie.,The Social Network,The Social Network,https://www.imdb.com/title/tt1285016/,Movie,7.8,120,2010,"Biography, Drama",773913,10/1/2010,David Fincher
68,tt0412536,7/1/2011,7/1/2011,Have only watched the movie.,Brideshead Revisited,Brideshead Revisited,https://www.imdb.com/title/tt0412536/,Movie,6.6,133,2008,"Drama, Romance",13806,8/15/2008,Julian Jarrold
69,tt0054698,7/1/2011,7/1/2011,Have only watched the movie.,Breakfast at Tiffany's,Breakfast at Tiffany's,https://www.imdb.com/title/tt0054698/,Movie,7.6,115,1961,"Comedy, Drama, Romance",195400,10/6/1961,Blake Edwards
70,tt0486655,7/1/2011,7/1/2011,Have only watched the movie.,Stardust,Stardust,https://www.imdb.com/title/tt0486655/,Movie,7.6,127,2007,"Adventure, Family, Fantasy, Romance",288658,8/10/2007,Matthew Vaughn
71,tt0332280,7/1/2011,7/1/2011,Have only watched the movie.,The Notebook,The Notebook,https://www.imdb.com/title/tt0332280/,Movie,7.8,123,2004,"Drama, Romance",637452,6/25/2004,Nick Cassavetes
